building,street,unit,type,pdf_x0,pdf_y0,pdf_x1,pdf_y1,px_x0,px_y0,px_x1,px_y1
3671,CC,2,1BR,435.04,572.04,455.76,579.44,1905.6,2002.2,2000.9,2036.2
3671,CC,3,1BR,435.04,564.64,455.76,572.04,1905.6,1968.1,2000.9,2002.2
3671,CC,4,1BR,435.04,557.24,455.76,564.64,1905.6,1934.1,2000.9,1968.1
3671,CC,5,1BR,414.32,579.44,435.04,586.84,1810.3,2036.2,1905.6,2070.3
3671,CC,6,1BR,414.32,572.04,435.04,579.44,1810.3,2002.2,1905.6,2036.2
3671,CC,7,1BR,414.32,564.64,435.04,572.04,1810.3,1968.1,1905.6,2002.2
3671,CC,8,1BR,414.32,557.24,435.04,564.64,1810.3,1934.1,1905.6,1968.1
3683,CC,1,1BR,372.88,579.44,393.6,586.84,1619.6,2036.2,1715,2070.3
3683,CC,2,1BR,372.88,572.04,393.6,579.44,1619.6,2002.2,1715,2036.2
3683,CC,3,1BR,372.88,564.64,393.6,572.04,1619.6,1968.1,1715,2002.2
3683,CC,4,1BR,372.88,557.24,393.6,564.64,1619.6,1934.1,1715,1968.1
3683,CC,5,1BR,352.16,579.44,372.88,586.84,1524.3,2036.2,1619.6,2070.3
3683,CC,6,1BR,352.16,572.04,372.88,579.44,1524.3,2002.2,1619.6,2036.2
3683,CC,7,1BR,352.16,564.64,372.88,572.04,1524.3,1968.1,1619.6,2002.2
3683,CC,8,1BR,352.16,557.24,372.88,564.64,1524.3,1934.1,1619.6,1968.1
3689,CC,1,1BR,331.44,579.44,352.16,586.84,1429,2036.2,1524.3,2070.3
3689,CC,2,1BR,331.44,572.04,352.16,579.44,1429,2002.2,1524.3,2036.2
3689,CC,3,1BR,331.44,564.64,352.16,572.04,1429,1968.1,1524.3,2002.2
3689,CC,4,1BR,331.44,557.24,352.16,564.64,1429,1934.1,1524.3,1968.1
3689,CC,5,1BR,310.72,579.44,331.44,586.84,1333.7,2036.2,1429,2070.3
3689,CC,6,1BR,310.72,572.04,331.44,579.44,1333.7,2002.2,1429,2036.2
3689,CC,7,1BR,310.72,564.64,331.44,572.04,1333.7,1968.1,1429,2002.2
3689,CC,8,1BR,310.72,557.24,331.44,564.64,1333.7,1934.1,1429,1968.1
3695,CC,1,1BR,290,579.44,310.72,586.84,1238.4,2036.2,1333.7,2070.3
3695,CC,2,1BR,290,572.04,310.72,579.44,1238.4,2002.2,1333.7,2036.2
3695,CC,3,1BR,290,564.64,310.72,572.04,1238.4,1968.1,1333.7,2002.2
3695,CC,4,1BR,290,557.24,310.72,564.64,1238.4,1934.1,1333.7,1968.1
3695,CC,5,1BR,269.28,579.44,290,586.84,1143.1,2036.2,1238.4,2070.3
3695,CC,6,1BR,269.28,572.04,290,579.44,1143.1,2002.2,1238.4,2036.2
3695,CC,7,1BR,269.28,564.64,290,572.04,1143.1,1968.1,1238.4,2002.2
3695,CC,8,1BR,269.28,557.24,290,564.64,1143.1,1934.1,1238.4,1968.1
3701,CC,1,1BR,248.56,579.44,269.28,586.84,1047.8,2036.2,1143.1,2070.3
3701,CC,2,1BR,248.56,572.04,269.28,579.44,1047.8,2002.2,1143.1,2036.2
3701,CC,3,1BR,248.56,564.64,269.28,572.04,1047.8,1968.1,1143.1,2002.2
3701,CC,4,1BR,248.56,557.24,269.28,564.64,1047.8,1934.1,1143.1,1968.1
3701,CC,5,1BR,227.84,579.44,248.56,586.84,952.5,2036.2,1047.8,2070.3
3701,CC,6,1BR,227.84,572.04,248.56,579.44,952.5,2002.2,1047.8,2036.2
3701,CC,7,1BR,227.84,564.64,248.56,572.04,952.5,1968.1,1047.8,2002.2
